"airport_name","city","country","IATA","ICAO","region"
"Tirios","Obidos Tirios","Brazil",NA,"SBTS","America/Boa_Vista"
"Tabatinga","Tabatinga","Brazil","TBT","SBTT","America/Boa_Vista"
"Tucurui","Tucurui","Brazil","TUR","SBTU","America/Boa_Vista"
"Sao Gabriel Da Cachoeira","Sao Gabriel","Brazil",NA,"SBUA","America/Boa_Vista"
"Paulo Afonso","Paulo Alfonso","Brazil","PAV","SBUF","America/Fortaleza"
"Rubem Berta","Uruguaiana","Brazil","URG","SBUG","America/Sao_Paulo"
"Ten Cel Av Cesar Bombonato","Uberlandia","Brazil","UDI","SBUL","America/Sao_Paulo"
"Urubupunga","Castilho","Brazil",NA,"SBUP","America/Sao_Paulo"
"Uberaba","Uberaba","Brazil","UBA","SBUR","America/Sao_Paulo"
"Major Brigadeiro Trompowsky","Varginha","Brazil","VAG","SBVG","America/Sao_Paulo"
"Vilhena","Vilhena","Brazil","BVH","SBVH","America/Boa_Vista"
"Goiabeiras","Vitoria","Brazil","VIX","SBVT","America/Sao_Paulo"
"Iauarete","Iauarete","Brazil",NA,"SBYA","America/Boa_Vista"
"Campo Fontenelle","Piracununga","Brazil","QPS","SBYS","America/Sao_Paulo"
"Chacalluta","Arica","Chile","ARI","SCAR","America/Santiago"
"Balmaceda","Balmaceda","Chile","BBA","SCBA","America/Santiago"
"El Bosque","Santiago","Chile",NA,"SCBQ","America/Santiago"
"Chile Chico","Chile Chico","Chile","CCH","SCCC","America/Santiago"
"El Loa","Calama","Chile","CJC","SCCF","America/Santiago"
"General Bernardo O Higgins","Chillan","Chile",NA,"SCCH","America/Santiago"
"Carlos Ibanez Del Campo Intl","Punta Arenas","Chile","PUQ","SCCI","America/Santiago"
"Teniente Vidal","Coyhaique","Chile","GXQ","SCCY","America/Santiago"
"Diego Aracena Intl","Iquique","Chile","IQQ","SCDA","America/Santiago"
"Arturo Merino Benitez Intl","Santiago","Chile","SCL","SCEL","America/Santiago"
"Cerro Moreno Intl","Antofagasta","Chile","ANF","SCFA","America/Santiago"
"Capitan Fuentes Martinez","Porvenir","Chile",NA,"SCFM","America/Santiago"
"Futaleufu","Futaleufu","Chile",NA,"SCFT","America/Santiago"
"Maria Dolores","Los Angeles","Chile","LSQ","SCGE","America/Santiago"
"Guardiamarina Zanartu","Puerto Williams","Chile",NA,"SCGZ","America/Santiago"
"Carriel Sur Intl","Concepcion","Chile","CCP","SCIE","America/Santiago"
"Mataveri Intl","Easter Island","Chile","IPC","SCIP","Pacific/Easter"
"Canal Bajo Carlos Hott Siebert","Osorno","Chile","ZOS","SCJO","America/Santiago"
"Vallenar","Vallenar","Chile",NA,"SCLL","America/Santiago"
"De La Independencia","Rancagua","Chile",NA,"SCRG","America/Santiago"
"Teniente Rodolfo Marsh Martin","Isla Rey Jorge","Antarctica",NA,"SCRM","Antarctica/South_Pole"
"La Florida","La Serena","Chile","LSC","SCSE","America/Santiago"
"Eulogio Sanchez","Santiago","Chile",NA,"SCTB","America/Santiago"
"Maquehue","Temuco","Chile","ZCO","SCTC","America/Santiago"
"El Tepual Intl","Puerto Montt","Chile","PMC","SCTE","America/Santiago"
"Chaiten","Chaiten","Chile","WCH","SCTN","America/Santiago"
"Pichoy","Valdivia","Chile","ZAL","SCVD","America/Santiago"
"Chachoan","Ambato","Ecuador","ATF","SEAM","America/Guayaquil"
"Hacienda Clementina","Clementia","Ecuador",NA,"SECM","America/Guayaquil"
"Francisco De Orellana","Coca","Ecuador","OCC","SECO","America/Guayaquil"
"Mariscal Lamar","Cuenca","Ecuador","CUE","SECU","America/Guayaquil"
"Seymour","Galapagos","Ecuador","GPS","SEGS","Pacific/Galapagos"
"Jose Joaquin De Olmedo Intl","Guayaquil","Ecuador","GYE","SEGU","America/Guayaquil"
"Gualaquiza","Gualaquiza","Ecuador",NA,"SEGZ","America/Guayaquil"
"Atahualpa","Ibarra","Ecuador",NA,"SEIB","America/Guayaquil"
"Km 192","Km-192","Ecuador",NA,"SEKK","America/Guayaquil"
"Hacienda La Julia","La Julia","Ecuador",NA,"SELJ","America/Guayaquil"
"Cotopaxi Intl","Latacunga","Ecuador",NA,"SELT","America/Guayaquil"
"Jose Maria Velasco Ibarra","Macara","Ecuador",NA,"SEMA","America/Guayaquil"
"Coronel E Carvajal","Macas","Ecuador","XMS","SEMC","America/Guayaquil"
"General Manuel Serrano","Machala","Ecuador","MCH","SEMH","America/Guayaquil"
"Montalvo","Montalvo","Ecuador",NA,"SEMO","America/Guayaquil"
"Eloy Alfaro Intl","Manta","Ecuador","MEC","SEMT","America/Guayaquil"
"Maragrosa","Maragrosa","Ecuador",NA,"SEMX","America/Guayaquil"
"Amable Calle Gutierrez","Pasaje","Ecuador",NA,"SEPS","America/Guayaquil"
"Reales Tamarindos","Portoviejo","Ecuador","PVO","SEPV","America/Guayaquil"
"Quevedo","Quevedo","Ecuador",NA,"SEQE","America/Guayaquil"
"Mariscal Sucre Intl","Quito","Ecuador","UIO","SEQU","America/Guayaquil"
"Chimborazo","Riobamba","Ecuador",NA,"SERB","America/Guayaquil"
"Coronel Artilleria Victor Larrea","Santa Rosa","Ecuador",NA,"SERO","America/Guayaquil"
"General Ulpiano Paez","Salinas","Ecuador","SNC","SESA","America/Guayaquil"
"Santo Domingo Los Colorados","Santo Domingo","Ecuador",NA,"SESD","America/Guayaquil"
"Taura","Taura","Ecuador",NA,"SETA","America/Guayaquil"
"Mayor Galo Torres","Tena","Ecuador",NA,"SETE","America/Guayaquil"
"Tarapoa","Tarapoa","Ecuador","TPC","SETR","America/Guayaquil"
"Teniente Coronel Luis A Mantilla","Tulcan","Ecuador","TUA","SETU","America/Guayaquil"
"Silvio Pettirossi Intl","Asuncion","Paraguay","ASU","SGAS","America/Asuncion"
"Juan De Ayolas","Ayolas","Paraguay",NA,"SGAY","America/Asuncion"
"Teniente Col Carmelo Peralta","Conception","Paraguay",NA,"SGCO","America/Asuncion"
"Itaipu","Itaipu","Paraguay",NA,"SGIB","America/Asuncion"
"Dr Luis Maria Argana Intl","Mariscal Estigarribia","Paraguay",NA,"SGME","America/Asuncion"
"Carlos Miguel Gimenez","Pilar","Paraguay",NA,"SGPI","America/Asuncion"
"El Eden","Armenia","Colombia","AXM","SKAR","America/Bogota"
"Tres De Mayo","Puerto Asis","Colombia","PUU","SKAS","America/Bogota"
"Las Flores","El Banco","Colombia",NA,"SKBC","America/Bogota"
"Palonegro","Bucaramanga","Colombia","BGA","SKBG","America/Bogota"
"Eldorado Intl","Bogota","Colombia","BOG","SKBO","America/Bogota"
"Ernesto Cortissoz","Barranquilla","Colombia","BAQ","SKBQ","America/Bogota"
"Jose Celestino Mutis","Bahia Solano","Colombia","BSC","SKBS","America/Bogota"
"Gerardo Tobar Lopez","Buenaventura","Colombia","BUN","SKBU","America/Bogota"
"Camilo Daza","Cucuta","Colombia","CUC","SKCC","America/Bogota"
"Rafael Nunez","Cartagena","Colombia","CTG","SKCG","America/Bogota"
"Alfonso Bonilla Aragon Intl","Cali","Colombia","CLO","SKCL","America/Bogota"
"La Florida","Tumaco","Colombia","TCO","SKCO","America/Bogota"
"Las Brujas","Corozal","Colombia","CZU","SKCZ","America/Bogota"
"Yariguies","Barrancabermeja","Colombia","EJA","SKEJ","America/Bogota"
"Gustavo Artunduaga Paredes","Florencia","Colombia","FLA","SKFL","America/Bogota"
"Santiago Vila","Girardot","Colombia",NA,"SKGI","America/Bogota"
"McCarthy Airport","McCarthy","United States","MXY",NA,"America/Anchorage"
"Juan Casiano","Guapi","Colombia","GPI","SKGP","America/Bogota"
"Guaymaral","Guaymaral","Colombia",NA,"SKGY","America/Bogota"
"Perales","Ibague","Colombia","IBE","SKIB","America/Bogota"
"San Luis","Ipiales","Colombia","IPI","SKIP","America/Bogota"
"Antonio Roldan Betancourt","Carepa","Colombia",NA,"SKLC","America/Bogota"
"La Mina","La Mina","Colombia",NA,"SKLM","America/Bogota"
"Alfredo Vasquez Cobo","Leticia","Colombia","LET","SKLT","America/Bogota"
"Olaya Herrera","Medellin","Colombia","EOH","SKMD","America/Bogota"
"Baracoa","Magangue","Colombia","MGN","SKMG","America/Bogota"
"Los Garzones","Monteria","Colombia","MTR","SKMR","America/Bogota"
"Fabio Alberto Leon Bentley","Mitu","Colombia","MVP","SKMU","America/Bogota"
"La Nubia","Manizales","Colombia","MZL","SKMZ","America/Bogota"
"Benito Salas","Neiva","Colombia","NVA","SKNV","America/Bogota"
"Aguas Claras","Ocana","Colombia","OCV","SKOC","America/Bogota"
